cc,country,distance,force_ping_select,host,https_functional,id,isp_id,lat,lon,name,preferred,sponsor,url
FI,Finland,1187,,speedtest2.saunalahti.fi.prod.hosts.ooklaserver.net:8080,1,22669,1463,60.1708,24.9375,Helsinki,0,Elisa Oyj,http://speedtest2.saunalahti.fi:8080/speedtest/upload.php
FI,Finland,1187,,speedtest-hki.retn.net.prod.hosts.ooklaserver.net:8080,1,31122,304545,60.1708,24.9375,Helsinki,0,RETN,http://speedtest-hki.retn.net:8080/speedtest/upload.php
FI,Finland,1187,,speedtest-hki.netplaza.fi:8080,1,27828,12153,60.1708,24.9375,Helsinki,0,Cinia Oy,http://speedtest-hki.netplaza.fi:8080/speedtest/upload.php
NL,Netherlands,306,,speedtest.previder.net.prod.hosts.ooklaserver.net:8080,1,71757,63494,52.2574,6.7928,Hengelo,0,Previder BV,http://speedtest.previder.net:8080/speedtest/upload.php
AF,Afghanistan,3165,,hrtspeedtest.etisalat.af.prod.hosts.ooklaserver.net:8080,1,49811,54500,34.3529,62.2040,Herat,0,Etisalat Afghanistan,http://hrtspeedtest.etisalat.af:8080/speedtest/upload.php
AF,Afghanistan,3165,,speedserver.starktelecom.af.prod.hosts.ooklaserver.net:8080,1,57702,309415,34.3529,62.2040,Herat,0,Stark Telecom AF,http://speedserver.starktelecom.af:8080/speedtest/upload.php
MX,Mexico,5674,,hermosillo.speedtest.totalplay.com.mx.prod.hosts.ooklaserver.net:8080,1,43759,98018,29.0833,-110.9500,Hermosillo,0,Totalplay,http://hermosillo.speedtest.totalplay.com.mx:8080/speedtest/upload.php
MX,Mexico,5674,,speedtest.hmo.megared.net.mx:8080,1,3499,69153,29.0833,-110.9500,Hermosillo,0,Megacable,http://speedtest.hmo.megared.net.mx:8080/speedtest/upload.php
MX,Mexico,5674,,smvel-son-garmendia-3.uninet.net.mx.prod.hosts.ooklaserver.net:8080,1,60619,28,29.0833,-110.9500,Hermosillo,0,INFINITUM,http://smvel-son-garmendia-3.uninet.net.mx:8080/speedtest/upload.php
MX,Mexico,5674,,speedtest-hmo-son.ngxnetworks.net.prod.hosts.ooklaserver.net:8080,1,59534,210980,29.0833,-110.9500,Hermosillo,0,NGX Networks,http://speedtest-hmo-son.ngxnetworks.net:8080/speedtest/upload.php
MX,Mexico,5675,,speedtest.lixer.mx.prod.hosts.ooklaserver.net:8080,1,72051,305499,29.0730,-110.9559,Hermosillo,0,LIXER Networks,http://speedtest.lixer.mx:8080/speedtest/upload.php
US,United States,3608,,speedtest01.srv.hcvlny.alticeusa.net.prod.hosts.ooklaserver.net:8080,1,62462,47677,40.7894,-73.5359,"Hicksville, NY",0,Optimum Online,http://speedtest01.srv.hcvlny.alticeusa.net:8080/speedtest/upload.php
US,United States,4266,,speedtest.port1.highlandscablegroup.com.prod.hosts.ooklaserver.net:8080,1,3046,91340,35.0751,-83.2101,"Highlands, NC",0,Highlands Cable,http://speedtest.port1.highlandscablegroup.com:8080/speedtest/upload.php
US,United States,5139,,speedtest.gohilight.com.prod.hosts.ooklaserver.net:8080,1,37289,184824,45.5229,-122.9898,"Hillsboro, OR",0,City of Hillsboro,http://speedtest.gohilight.com:8080/speedtest/upload.php
US,United States,4153,,speedtest.tgtel.com.prod.hosts.ooklaserver.net:8080,1,5408,108027,37.3372,-82.9811,"Hindman, KY",0,Thacker-Grigsby Telephone Co. Inc.,http://speedtest.tgtel.com:8080/speedtest/upload.php
SK,Slovakia,706,,st1.datagram.sk.prod.hosts.ooklaserver.net:8080,1,6669,99139,48.4333,17.8033,Hlohovec,0,SihotNET s.r.o.,http://st1.datagram.sk:8080/speedtest/upload.php
CZ,Czechia,716,,speedtest.hlucin.net.prod.hosts.ooklaserver.net:8080,1,8806,140202,49.8960,18.1901,Hlucin,0,"Hlucin.net, s.r.o.",http://speedtest.hlucin.net:8080/speedtest/upload.php
VN,Vietnam,6297,,speedtest.fpt.vn.prod.hosts.ooklaserver.net:8080,1,2515,43723,10.8231,106.6297,Ho Chi Minh,0,FPT Telecom,http://speedtest.fpt.vn:8080/speedtest/upload.php
VN,Vietnam,6297,,speedtest.vnso.vn:8080,1,70816,113917,10.8231,106.6297,Ho Chi Minh,0,VNSO TECHNOLOGY COMPANY LTD,http://speedtest.vnso.vn:8080/speedtest/upload.php
VN,Vietnam,6297,,speedtest.hqg.vn:8080,1,70874,315268,10.8231,106.6297,Ho Chi Minh,0,HQG TECHNOLOGY SOLUTION CORPORATE,http://speedtest.hqg.vn:8080/speedtest/upload.php
VN,Vietnam,6302,,speedtest3.vtn.com.vn.prod.hosts.ooklaserver.net:8080,1,17758,880,10.7500,106.6667,Ho Chi Minh,0,VNPT-NET,http://speedtest3.vtn.com.vn:8080/speedtest/upload.php
VN,Vietnam,6302,,sg1.mobifone.vn.prod.hosts.ooklaserver.net:8080,1,55436,158818,10.7500,106.6667,Ho Chi Minh,0,MobiFone,http://sg1.mobifone.vn:8080/speedtest/upload.php
VN,Vietnam,6302,,hcm-ookla01.sctv.vn.prod.hosts.ooklaserver.net:8080,1,56841,111158,10.7500,106.6667,Ho Chi Minh,0,"SCTV Co.,Ltd",http://hcm-ookla01.sctv.vn:8080/speedtest/upload.php
VN,Vietnam,6302,,speedtest4.spntelecom.vn.prod.hosts.ooklaserver.net:8080,1,52640,48490,10.7500,106.6667,Ho Chi Minh,0,SPNTelecom,http://speedtest4.spntelecom.vn:8080/speedtest/upload.php
VN,Vietnam,6302,,speedtestkv3b.viettel.vn.prod.hosts.ooklaserver.net:8080,1,26853,48490,10.7500,106.6667,Ho Chi Minh,0,Viettel Network,http://speedtestkv3b.viettel.vn:8080/speedtest/upload.php
VN,Vietnam,6302,,hht-speedtest.viettelidc.com.vn.prod.hosts.ooklaserver.net:8080,1,54812,171596,10.7500,106.6667,Ho Chi Minh,0,Viettel IDC,http://hht-speedtest.viettelidc.com.vn:8080/speedtest/upload.php
VN,Viet Nam,6302,,vhcm.vietpn.com.prod.hosts.ooklaserver.net:8080,1,11342,880,10.7500,106.6667,Ho Chi Minh City,0,"VIETPN CO, LTD",http://vhcm.vietpn.com:8080/speedtest/upload.php
VN,Vietnam,6302,,vnmhcmspt1.vietnamobile.com.vn.prod.hosts.ooklaserver.net:8080,1,16749,24703,10.7500,106.6667,Ho Chi Minh,0,Vietnamobile,http://vnmhcmspt1.vietnamobile.com.vn:8080/speedtest/upload.php
AU,Australia,10730,,tas-dwpk-st1.speedtest.aarnet.net.au:8080,1,6369,10195,-42.8806,147.3250,Hobart,0,AARNet,http://tas-dwpk-st1.speedtest.aarnet.net.au:8080/speedtest/upload.php
AU,Australia,10730,,speedtest-hobart.optusnet.com.au:8080,1,8976,71769,-42.8806,147.3250,Hobart,0,Optus,http://speedtest-hobart.optusnet.com.au:8080/speedtest/upload.php
AU,Australia,10730,,speedtest-hob.launtel.net.au.prod.hosts.ooklaserver.net:8080,1,48679,137873,-42.8806,147.3250,Hobart,0,Launtel,http://speedtest-hob.launtel.net.au:8080/speedtest/upload.php
AU,Australia,10730,,hob1.speedtest.telstra.net:8080,1,18712,39,-42.8821,147.3272,Hobart,0,Telstra,http://hob1.speedtest.telstra.net:8080/speedtest/upload.php
FR,France,242,,testdebit.laregie.fr.prod.hosts.ooklaserver.net:8080,1,14043,172348,48.9335,7.6676,Reichshoffen,0,La Regie,http://testdebit.laregie.fr:8080/speedtest/upload.php
SA,Saudi Arabia,3003,,speedtest-hofuf.sa.zain.com.prod.hosts.ooklaserver.net:8080,1,49413,25389,25.3800,49.5888,Hofuf,0,Zain KSA,http://speedtest-hofuf.sa.zain.com:8080/speedtest/upload.php
SA,Saudi Arabia,3003,,alhofuf-speedtest.saudi.net.sa:8080,1,24200,87730,25.3800,49.5888,Al Hofuf,0,Saudi Telecom Company (STC),http://alhofuf-speedtest.saudi.net.sa:8080/speedtest/upload.php
US,United States,4078,,speedtest.wausausupply.com.prod.hosts.ooklaserver.net:8080,1,51639,324956,44.9097,-89.6046,"Schofield, WI",0,Wausau Supply Company,http://speedtest.wausausupply.com:8080/speedtest/upload.php
FR,France,202,,testdebithom.enes.fr.prod.hosts.ooklaserver.net:8080,1,21268,172348,49.1252,6.7756,Hombourg-Haut,0,Enes,http://testdebithom.enes.fr:8080/speedtest/upload.php
US,United States,4575,,speedtest.bluevalley.net.prod.hosts.ooklaserver.net:8080,1,16548,36471,39.8416,-96.5201,"Home, KS",0,Blue Valley Telecommunications,http://speedtest.bluevalley.net:8080/speedtest/upload.php
US,United States,4803,,hom.speedtest.gci.net:8080,1,58176,919,59.6431,-151.5258,"Homer, AK",0,GCI - RED,http://hom.speedtest.gci.net:8080/speedtest/upload.php
US,United States,4803,,sp1.spitwspots.com.prod.hosts.ooklaserver.net:8080,1,7683,105378,59.6431,-151.5258,"Homer, AK",0,SPITwSPOTS,http://sp1.spitwspots.com:8080/speedtest/upload.php
US,United States,3648,,speedtest1.whsdk12.net.prod.hosts.ooklaserver.net:8080,1,7788,190,41.5742,-75.2558,"Honesdale, PA",0,Wayne Highlands School District,http://speedtest1.whsdk12.net:8080/speedtest/upload.php
HK,Hong Kong,5984,,csl.hkspeedtest.com.prod.hosts.ooklaserver.net:8080,1,13538,101231,22.3668,114.1302,Hong Kong,0,CSL,http://csl.hkspeedtest.com:8080/speedtest/upload.php
HK,Hong Kong,5988,,speedtest.three.com.hk:8080,1,33414,86733,22.3193,114.1694,Hong Kong,0,Hutchison HK,http://speedtest.three.com.hk:8080/speedtest/upload.php
HK,Hong Kong,5988,,speedtest.hk.chinamobile.com:8080,1,32155,207318,22.3193,114.1694,Hong Kong,0,CMHK Mobile Service,http://speedtest.hk.chinamobile.com:8080/speedtest/upload.php
